,,,,,Recommended N (kg/ha),Recommended N (kg/ha),Recommended P2O5 (kg/ha),Recommended P2O5 (kg/ha),Recommended K2O (kg/ha),Recommended K2O (kg/ha)
ARMM,2,Wet season,Combined,"(0, 2]",43.0,44.0,14.0,14.0,14.0,14.0
ARMM,2,Wet season,Combined,"(2, 4]",43.0,88.0,14.0,25.0,14.0,25.0
ARMM,2,Wet season,Combined,"(4, 6]",72.0,120.0,21.0,33.0,21.0,57.0
ARMM,2,Wet season,Combined,"(6, 8]",133.0,133.0,36.0,36.0,66.0,66.0
ARMM,2,Wet season,Manual,"(0, 2]",43.0,44.0,16.0,17.0,16.0,17.0
ARMM,2,Wet season,Manual,"(2, 4]",43.0,80.0,16.0,25.0,16.0,46.0
ARMM,2,Wet season,Manual,"(4, 6]",70.0,118.0,22.0,34.0,38.0,73.0
ARMM,2,Wet season,Manual,"(6, 8]",120.0,148.0,35.0,42.0,73.0,90.0
ARMM,2,Wet season,Manual,"(8, 10]",137.0,146.0,38.0,41.0,82.0,89.0
ARMM,3,Dry season,Combined,"(0, 2]",43.0,70.0,12.0,15.0,12.0,15.0
ARMM,3,Dry season,Combined,"(2, 4]",43.0,88.0,12.0,25.0,12.0,38.0
ARMM,3,Dry season,Combined,"(4, 6]",43.0,128.0,14.0,33.0,14.0,63.0
ARMM,3,Dry season,Combined,"(6, 8]",116.0,148.0,30.0,40.0,30.0,84.0
ARMM,3,Dry season,Combined,"(8, 10]",116.0,148.0,30.0,39.0,30.0,72.0
ARMM,3,Dry season,Manual,"(0, 2]",43.0,70.0,15.0,18.0,15.0,18.0
ARMM,3,Dry season,Manual,"(2, 4]",43.0,84.0,11.0,25.0,11.0,50.0
ARMM,3,Dry season,Manual,"(4, 6]",80.0,126.0,21.0,35.0,21.0,73.0
ARMM,3,Dry season,Manual,"(6, 8]",128.0,146.0,36.0,40.0,51.0,65.0
ARMM,3,Dry season,Manual,"(8, 10]",133.0,133.0,37.0,37.0,55.0,55.0
ARMM,3,Dry season,Reaper,"(2, 4]",67.0,80.0,18.0,21.0,18.0,21.0
ARMM,3,Dry season,Reaper,"(4, 6]",116.0,116.0,33.0,33.0,42.0,42.0
ARMM,3,Wet season,Combined,"(0, 2]",43.0,70.0,11.0,15.0,11.0,15.0
ARMM,3,Wet season,Combined,"(2, 4]",46.0,88.0,12.0,23.0,12.0,23.0
ARMM,3,Wet season,Combined,"(4, 6]",80.0,120.0,17.0,33.0,17.0,57.0
ARMM,3,Wet season,Combined,"(6, 8]",126.0,133.0,32.0,34.0,32.0,34.0
ARMM,3,Wet season,Manual,"(0, 2]",43.0,70.0,15.0,18.0,15.0,18.0
ARMM,3,Wet season,Manual,"(2, 4]",43.0,80.0,15.0,25.0,15.0,46.0
ARMM,3,Wet season,Manual,"(4, 6]",80.0,116.0,20.0,32.0,20.0,60.0
ARMM,3,Wet season,Manual,"(6, 8]",126.0,133.0,35.0,37.0,60.0,65.0
ARMM,4,Dry season,Combined,"(0, 2]",56.0,70.0,12.0,14.0,12.0,14.0
ARMM,4,Dry season,Combined,"(2, 4]",56.0,88.0,10.0,20.0,0.0,20.0
ARMM,4,Dry season,Combined,"(4, 6]",70.0,128.0,14.0,32.0,14.0,32.0
ARMM,4,Dry season,Combined,"(6, 8]",70.0,146.0,14.0,37.0,14.0,37.0
ARMM,4,Dry season,Combined,"(8, 10]",116.0,146.0,30.0,37.0,30.0,37.0
ARMM,4,Dry season,Manual,"(0, 2]",56.0,70.0,15.0,18.0,15.0,18.0
ARMM,4,Dry season,Manual,"(2, 4]",56.0,88.0,14.0,23.0,0.0,23.0
ARMM,4,Dry season,Manual,"(4, 6]",80.0,128.0,21.0,35.0,21.0,49.0
ARMM,4,Dry season,Manual,"(6, 8]",124.0,152.0,35.0,41.0,36.0,65.0
ARMM,4,Dry season,Manual,"(8, 10]",131.0,133.0,36.0,37.0,48.0,55.0
ARMM,4,Dry season,Reaper,"(2, 4]",57.0,57.0,15.0,15.0,15.0,15.0
ARMM,4,Dry season,Reaper,"(4, 6]",92.0,100.0,23.0,29.0,23.0,29.0
ARMM,4,Wet season,Combined,"(0, 2]",57.0,70.0,12.0,14.0,12.0,14.0
ARMM,4,Wet season,Combined,"(2, 4]",56.0,84.0,10.0,18.0,0.0,18.0
ARMM,4,Wet season,Combined,"(4, 6]",77.0,120.0,17.0,30.0,17.0,30.0
ARMM,4,Wet season,Combined,"(6, 8]",57.0,143.0,12.0,36.0,12.0,47.0
ARMM,4,Wet season,Combined,"(8, 10]",124.0,126.0,31.0,31.0,31.0,31.0
ARMM,4,Wet season,Manual,"(0, 2]",56.0,70.0,13.0,18.0,13.0,18.0
ARMM,4,Wet season,Manual,"(2, 4]",56.0,82.0,15.0,21.0,15.0,31.0
ARMM,4,Wet season,Manual,"(4, 6]",70.0,126.0,18.0,35.0,18.0,63.0
ARMM,4,Wet season,Manual,"(6, 8]",124.0,143.0,34.0,40.0,59.0,77.0
ARMM,4,Wet season,Manual,"(8, 10]",148.0,148.0,41.0,41.0,80.0,80.0
ARMM,4,Wet season,Reaper,"(4, 6]",74.0,95.0,19.0,28.0,19.0,40.0
ARMM,5,Dry season,Combined,"(0, 2]",43.0,43.0,15.0,16.0,15.0,16.0
ARMM,5,Dry season,Combined,"(2, 4]",14.0,84.0,10.0,21.0,10.0,21.0
ARMM,5,Dry season,Combined,"(4, 6]",37.0,126.0,10.0,27.0,10.0,27.0
ARMM,5,Dry season,Combined,"(6, 8]",70.0,70.0,14.0,14.0,14.0,14.0
ARMM,5,Dry season,Manual,"(0, 2]",43.0,44.0,15.0,18.0,15.0,31.0
ARMM,5,Dry season,Manual,"(2, 4]",10.0,84.0,10.0,25.0,10.0,39.0
ARMM,5,Dry season,Manual,"(4, 6]",29.0,126.0,10.0,33.0,12.0,52.0
ARMM,5,Dry season,Manual,"(6, 8]",84.0,84.0,16.0,16.0,27.0,27.0
ARMM,5,Dry season,Manual,"(8, 10]",70.0,70.0,11.0,18.0,18.0,25.0
ARMM,5,Dry season,Reaper,"(4, 6]",42.0,68.0,15.0,20.0,15.0,20.0
ARMM,5,Dry season,Reaper,"(6, 8]",89.0,89.0,17.0,17.0,28.0,28.0
ARMM,5,Wet season,Combined,"(0, 2]",44.0,44.0,16.0,16.0,16.0,16.0
ARMM,5,Wet season,Combined,"(2, 4]",43.0,74.0,13.0,19.0,13.0,19.0
ARMM,5,Wet season,Combined,"(4, 6]",82.0,82.0,20.0,20.0,20.0,20.0
ARMM,5,Wet season,Manual,"(0, 2]",43.0,49.0,17.0,18.0,17.0,31.0
ARMM,5,Wet season,Manual,"(2, 4]",43.0,84.0,15.0,25.0,15.0,37.0
ARMM,5,Wet season,Manual,"(4, 6]",70.0,120.0,21.0,32.0,21.0,49.0
ARMM,5,Wet season,Manual,"(6, 8]",126.0,143.0,30.0,34.0,45.0,52.0
ARMM,5,Wet season,Reaper,"(0, 2]",44.0,44.0,17.0,17.0,17.0,17.0
ARMM,6,Dry season,Combined,"(0, 2]",43.0,44.0,10.0,15.0,0.0,15.0
ARMM,6,Dry season,Combined,"(2, 4]",43.0,84.0,13.0,23.0,13.0,33.0
ARMM,6,Dry season,Combined,"(4, 6]",90.0,113.0,25.0,32.0,25.0,56.0
ARMM,6,Dry season,Combined,"(6, 8]",126.0,137.0,33.0,36.0,55.0,72.0
ARMM,6,Dry season,Combined,"(8, 10]",137.0,137.0,36.0,36.0,62.0,62.0
ARMM,6,Dry season,Manual,"(0, 2]",43.0,54.0,12.0,18.0,12.0,18.0
ARMM,6,Dry season,Manual,"(2, 4]",43.0,84.0,14.0,27.0,14.0,54.0
ARMM,6,Dry season,Manual,"(4, 6]",72.0,120.0,23.0,35.0,39.0,74.0
ARMM,6,Dry season,Manual,"(6, 8]",133.0,133.0,38.0,38.0,79.0,79.0
ARMM,6,Wet season,Combined,"(0, 2]",43.0,44.0,14.0,15.0,14.0,15.0
ARMM,6,Wet season,Combined,"(2, 4]",44.0,82.0,14.0,24.0,14.0,33.0
ARMM,6,Wet season,Combined,"(4, 6]",88.0,106.0,25.0,29.0,25.0,50.0
ARMM,6,Wet season,Manual,"(0, 2]",43.0,44.0,14.0,17.0,14.0,17.0
ARMM,6,Wet season,Manual,"(2, 4]",43.0,90.0,16.0,27.0,16.0,54.0
ARMM,6,Wet season,Manual,"(4, 6]",80.0,113.0,25.0,33.0,49.0,69.0
ARMM,6,Wet season,Manual,"(6, 8]",128.0,139.0,37.0,39.0,80.0,84.0
BARMM,1,Dry season,Combined,"(2, 4]",62.0,62.0,13.0,13.0,13.0,13.0
BARMM,2,Dry season,Combined,"(0, 2]",43.0,43.0,15.0,15.0,10.0,10.0
BARMM,2,Dry season,Combined,"(2, 4]",43.0,80.0,13.0,24.0,10.0,34.0
BARMM,2,Dry season,Combined,"(4, 6]",108.0,118.0,30.0,31.0,50.0,56.0
BARMM,2,Dry season,Manual,"(0, 2]",44.0,44.0,16.0,16.0,16.0,16.0
BARMM,2,Dry season,Manual,"(2, 4]",44.0,80.0,16.0,25.0,16.0,50.0
BARMM,2,Dry season,Manual,"(4, 6]",98.0,120.0,29.0,35.0,56.0,82.0
BARMM,2,Dry season,Reaper,"(2, 4]",59.0,67.0,20.0,22.0,34.0,35.0
BARMM,2,Wet season,Combined,"(4, 6]",88.0,100.0,25.0,28.0,32.0,42.0
BARMM,2,Wet season,Manual,"(2, 4]",43.0,84.0,16.0,26.0,19.0,50.0
BARMM,3,Dry season,Combined,"(0, 2]",57.0,70.0,12.0,14.0,12.0,14.0
BARMM,3,Dry season,Combined,"(2, 4]",46.0,88.0,12.0,20.0,11.0,16.0
BARMM,3,Dry season,Combined,"(4, 6]",90.0,124.0,19.0,30.0,17.0,21.0
BARMM,3,Dry season,Combined,"(6, 8]",137.0,154.0,35.0,39.0,31.0,44.0
BARMM,3,Dry season,Combined,"(8, 10]",159.0,159.0,40.0,40.0,48.0,48.0
BARMM,3,Dry season,Manual,"(0, 2]",57.0,70.0,15.0,18.0,18.0,21.0
BARMM,3,Dry season,Manual,"(2, 4]",57.0,80.0,15.0,21.0,18.0,23.0
BARMM,3,Dry season,Manual,"(4, 6]",84.0,110.0,22.0,31.0,24.0,66.0
BARMM,3,Dry season,Reaper,"(2, 4]",57.0,57.0,15.0,15.0,18.0,18.0
BARMM,3,Dry season,Reaper,"(4, 6]",90.0,92.0,23.0,28.0,26.0,58.0
BARMM,3,Wet season,Combined,"(0, 2]",43.0,43.0,14.0,14.0,10.0,10.0
BARMM,3,Wet season,Combined,"(2, 4]",74.0,74.0,21.0,21.0,22.0,22.0
BARMM,3,Wet season,Combined,"(4, 6]",95.0,116.0,25.0,31.0,17.0,52.0
BARMM,3,Wet season,Combined,"(6, 8]",126.0,126.0,32.0,32.0,36.0,36.0
BARMM,3,Wet season,Manual,"(2, 4]",67.0,67.0,18.0,18.0,20.0,20.0
BARMM,3,Wet season,Manual,"(4, 6]",95.0,95.0,28.0,28.0,40.0,40.0
BARMM,4,Dry season,Combined,"(4, 6]",118.0,118.0,29.0,29.0,21.0,21.0
BARMM,4,Dry season,Manual,"(2, 4]",57.0,74.0,15.0,19.0,18.0,22.0
BARMM,4,Dry season,Manual,"(4, 6]",108.0,108.0,30.0,30.0,30.0,30.0
BARMM,4,Dry season,Manual,"(6, 8]",133.0,133.0,37.0,37.0,50.0,50.0
BARMM,4,Dry season,Reaper,"(2, 4]",57.0,57.0,15.0,15.0,18.0,18.0
BARMM,4,Dry season,Reaper,"(4, 6]",116.0,116.0,32.0,32.0,36.0,36.0
BARMM,4,Wet season,Combined,"(6, 8]",133.0,133.0,34.0,34.0,42.0,42.0
BARMM,4,Wet season,Manual,"(0, 2]",57.0,57.0,15.0,15.0,18.0,18.0
BARMM,4,Wet season,Manual,"(4, 6]",100.0,113.0,29.0,32.0,44.0,54.0
BARMM,5,Dry season,Manual,"(2, 4]",19.0,19.0,10.0,10.0,17.0,17.0
BARMM,5,Wet season,Manual,"(0, 2]",43.0,43.0,18.0,18.0,31.0,31.0
BARMM,6,Dry season,Combined,"(0, 2]",46.0,46.0,14.0,14.0,11.0,11.0
BARMM,6,Dry season,Manual,"(2, 4]",82.0,82.0,26.0,26.0,52.0,52.0
BARMM,6,Wet season,Manual,"(2, 4]",66.0,84.0,22.0,26.0,37.0,50.0
CALABARZON,0,Dry season,Combined,"(0, 2]",46.0,57.0,10.0,12.0,10.0,12.0
CALABARZON,0,Dry season,Combined,"(2, 4]",46.0,100.0,10.0,25.0,0.0,25.0
CALABARZON,0,Dry season,Combined,"(4, 6]",59.0,133.0,10.0,33.0,0.0,33.0
CALABARZON,0,Dry season,Combined,"(6, 8]",96.0,161.0,20.0,40.0,0.0,44.0
CALABARZON,0,Dry season,Combined,"(8, 10]",116.0,172.0,27.0,45.0,27.0,58.0
CALABARZON,0,Dry season,Manual,"(0, 2]",33.0,70.0,10.0,18.0,0.0,18.0
CALABARZON,0,Dry season,Manual,"(2, 4]",33.0,100.0,10.0,29.0,0.0,29.0
CALABARZON,0,Dry season,Manual,"(4, 6]",49.0,139.0,11.0,38.0,0.0,54.0
CALABARZON,0,Dry season,Manual,"(6, 8]",96.0,175.0,26.0,46.0,26.0,83.0
CALABARZON,0,Dry season,Manual,"(8, 10]",118.0,175.0,31.0,46.0,45.0,86.0
CALABARZON,0,Dry season,Manual,"(10, 13]",141.0,186.0,39.0,52.0,56.0,101.0
CALABARZON,0,Dry season,Reaper,"(0, 2]",46.0,70.0,10.0,18.0,10.0,18.0
CALABARZON,0,Dry season,Reaper,"(2, 4]",57.0,92.0,15.0,24.0,15.0,24.0
CALABARZON,0,Dry season,Reaper,"(4, 6]",84.0,120.0,19.0,34.0,19.0,45.0
CALABARZON,0,Wet season,Combined,"(0, 2]",56.0,70.0,10.0,14.0,10.0,14.0
CALABARZON,0,Wet season,Combined,"(2, 4]",39.0,82.0,10.0,17.0,0.0,17.0
CALABARZON,0,Wet season,Combined,"(4, 6]",54.0,110.0,10.0,27.0,0.0,27.0
CALABARZON,0,Wet season,Combined,"(6, 8]",74.0,116.0,15.0,29.0,0.0,29.0
CALABARZON,0,Wet season,Combined,"(8, 10]",80.0,106.0,18.0,25.0,14.0,25.0
CALABARZON,0,Wet season,Manual,"(0, 2]",45.0,82.0,10.0,20.0,0.0,21.0
CALABARZON,0,Wet season,Manual,"(2, 4]",33.0,82.0,10.0,21.0,0.0,36.0
CALABARZON,0,Wet season,Manual,"(4, 6]",53.0,118.0,10.0,33.0,0.0,55.0
CALABARZON,0,Wet season,Manual,"(6, 8]",72.0,137.0,16.0,37.0,16.0,67.0
CALABARZON,0,Wet season,Manual,"(8, 10]",72.0,116.0,20.0,32.0,20.0,51.0
CALABARZON,0,Wet season,Manual,"(10, 13]",80.0,84.0,21.0,23.0,21.0,35.0
CALABARZON,0,Wet season,Reaper,"(0, 2]",57.0,70.0,15.0,18.0,15.0,21.0
CALABARZON,0,Wet season,Reaper,"(2, 4]",57.0,82.0,13.0,21.0,13.0,34.0
CALABARZON,0,Wet season,Reaper,"(4, 6]",64.0,106.0,14.0,31.0,14.0,55.0
CALABARZON,0,Wet season,Reaper,"(6, 8]",82.0,106.0,23.0,30.0,33.0,43.0
CALABARZON,1,Dry season,Combined,"(0, 2]",57.0,57.0,12.0,12.0,12.0,12.0
CALABARZON,1,Dry season,Combined,"(2, 4]",57.0,88.0,11.0,18.0,11.0,18.0
CALABARZON,1,Dry season,Combined,"(4, 6]",80.0,118.0,17.0,30.0,16.0,26.0
CALABARZON,1,Dry season,Combined,"(6, 8]",133.0,133.0,34.0,34.0,24.0,24.0
CALABARZON,1,Dry season,Manual,"(0, 2]",43.0,70.0,10.0,18.0,10.0,18.0
CALABARZON,1,Dry season,Manual,"(2, 4]",39.0,90.0,10.0,24.0,10.0,46.0
CALABARZON,1,Dry season,Manual,"(4, 6]",59.0,133.0,14.0,37.0,14.0,54.0
CALABARZON,1,Dry season,Manual,"(6, 8]",116.0,139.0,31.0,38.0,43.0,55.0
CALABARZON,1,Dry season,Manual,"(10, 13]",139.0,139.0,38.0,38.0,56.0,56.0
CALABARZON,1,Dry season,Reaper,"(0, 2]",57.0,57.0,15.0,15.0,18.0,18.0
CALABARZON,1,Dry season,Reaper,"(2, 4]",62.0,62.0,16.0,16.0,19.0,19.0
CALABARZON,1,Dry season,Reaper,"(4, 6]",95.0,116.0,28.0,34.0,28.0,72.0
CALABARZON,1,Wet season,Combined,"(0, 2]",57.0,57.0,12.0,12.0,12.0,12.0
CALABARZON,1,Wet season,Combined,"(2, 4]",57.0,70.0,10.0,16.0,0.0,14.0
CALABARZON,1,Wet season,Combined,"(4, 6]",61.0,106.0,10.0,27.0,10.0,40.0
CALABARZON,1,Wet season,Combined,"(6, 8]",84.0,106.0,19.0,25.0,19.0,25.0
CALABARZON,1,Wet season,Combined,"(8, 10]",84.0,84.0,19.0,19.0,19.0,19.0
CALABARZON,1,Wet season,Manual,"(0, 2]",43.0,82.0,12.0,20.0,12.0,20.0
CALABARZON,1,Wet season,Manual,"(2, 4]",43.0,82.0,11.0,21.0,0.0,34.0
CALABARZON,1,Wet season,Manual,"(4, 6]",74.0,106.0,19.0,30.0,19.0,47.0
CALABARZON,1,Wet season,Manual,"(6, 8]",84.0,92.0,23.0,23.0,23.0,34.0
CALABARZON,1,Wet season,Manual,"(8, 10]",106.0,106.0,30.0,30.0,47.0,48.0
CALABARZON,2,Dry season,Combined,"(2, 4]",61.0,82.0,23.0,26.0,23.0,39.0
CALABARZON,2,Dry season,Combined,"(4, 6]",66.0,116.0,27.0,33.0,43.0,62.0
CALABARZON,2,Dry season,Manual,"(0, 2]",43.0,70.0,14.0,18.0,14.0,30.0
CALABARZON,2,Dry season,Manual,"(2, 4]",33.0,80.0,15.0,26.0,15.0,55.0
CALABARZON,2,Dry season,Manual,"(4, 6]",51.0,116.0,24.0,37.0,24.0,78.0
CALABARZON,2,Dry season,Manual,"(6, 8]",114.0,114.0,39.0,39.0,84.0,84.0
CALABARZON,2,Wet season,Combined,"(0, 2]",43.0,43.0,13.0,15.0,13.0,15.0
CALABARZON,2,Wet season,Combined,"(2, 4]",43.0,74.0,14.0,22.0,14.0,22.0
CALABARZON,2,Wet season,Combined,"(4, 6]",59.0,90.0,23.0,25.0,23.0,35.0
CALABARZON,2,Wet season,Manual,"(0, 2]",43.0,70.0,12.0,18.0,12.0,27.0
CALABARZON,2,Wet season,Manual,"(2, 4]",43.0,77.0,12.0,25.0,12.0,51.0
CALABARZON,2,Wet season,Manual,"(4, 6]",77.0,110.0,23.0,34.0,34.0,73.0
CALABARZON,2,Wet season,Manual,"(6, 8]",106.0,106.0,32.0,32.0,66.0,66.0
CALABARZON,2,Wet season,Reaper,"(0, 2]",43.0,43.0,16.0,16.0,16.0,16.0
CALABARZON,2,Wet season,Reaper,"(2, 4]",43.0,74.0,16.0,24.0,16.0,46.0
CALABARZON,3,Dry season,Combined,"(0, 2]",57.0,70.0,11.0,14.0,11.0,14.0
CALABARZON,3,Dry season,Combined,"(2, 4]",57.0,90.0,10.0,20.0,10.0,20.0
CALABARZON,3,Dry season,Combined,"(4, 6]",72.0,128.0,10.0,33.0,0.0,33.0
CALABARZON,3,Dry season,Combined,"(6, 8]",133.0,173.0,33.0,43.0,33.0,43.0
CALABARZON,3,Dry season,Manual,"(0, 2]",57.0,70.0,10.0,18.0,10.0,18.0
CALABARZON,3,Dry season,Manual,"(2, 4]",46.0,100.0,10.0,29.0,0.0,29.0
CALABARZON,3,Dry season,Manual,"(4, 6]",72.0,128.0,17.0,36.0,17.0,52.0
CALABARZON,3,Dry season,Manual,"(6, 8]",131.0,165.0,36.0,45.0,48.0,77.0
CALABARZON,3,Dry season,Manual,"(8, 10]",137.0,176.0,37.0,46.0,54.0,87.0
CALABARZON,3,Dry season,Reaper,"(2, 4]",62.0,90.0,15.0,23.0,15.0,23.0
CALABARZON,3,Dry season,Reaper,"(4, 6]",90.0,118.0,20.0,33.0,20.0,33.0
CALABARZON,3,Wet season,Combined,"(0, 2]",57.0,82.0,12.0,16.0,12.0,16.0
CALABARZON,3,Wet season,Combined,"(2, 4]",57.0,82.0,10.0,17.0,11.0,17.0
CALABARZON,3,Wet season,Combined,"(4, 6]",61.0,110.0,10.0,27.0,10.0,26.0
CALABARZON,3,Wet season,Combined,"(6, 8]",74.0,106.0,17.0,27.0,13.0,27.0
CALABARZON,3,Wet season,Manual,"(0, 2]",57.0,82.0,15.0,20.0,15.0,21.0
CALABARZON,3,Wet season,Manual,"(2, 4]",57.0,82.0,11.0,21.0,0.0,30.0
CALABARZON,3,Wet season,Manual,"(4, 6]",72.0,106.0,19.0,30.0,19.0,45.0
CALABARZON,3,Wet season,Manual,"(6, 8]",90.0,106.0,23.0,30.0,23.0,43.0
CALABARZON,3,Wet season,Manual,"(8, 10]",106.0,106.0,30.0,30.0,47.0,47.0
CALABARZON,3,Wet season,Reaper,"(0, 2]",33.0,82.0,10.0,20.0,10.0,21.0
CALABARZON,3,Wet season,Reaper,"(2, 4]",57.0,82.0,15.0,21.0,15.0,34.0
CALABARZON,3,Wet season,Reaper,"(4, 6]",77.0,88.0,19.0,22.0,19.0,38.0
CALABARZON,5,Dry season,Combined,"(4, 6]",53.0,86.0,10.0,11.0,10.0,11.0
CALABARZON,5,Dry season,Combined,"(6, 8]",91.0,117.0,12.0,16.0,12.0,16.0
CALABARZON,5,Dry season,Combined,"(8, 10]",115.0,125.0,10.0,15.0,10.0,15.0
CALABARZON,5,Dry season,Manual,"(0, 2]",10.0,37.0,10.0,10.0,10.0,20.0
CALABARZON,5,Dry season,Manual,"(2, 4]",10.0,47.0,10.0,16.0,0.0,21.0
CALABARZON,5,Dry season,Manual,"(4, 6]",37.0,100.0,10.0,28.0,0.0,43.0
CALABARZON,5,Dry season,Manual,"(6, 8]",84.0,110.0,16.0,29.0,16.0,56.0
CALABARZON,5,Dry season,Manual,"(8, 10]",99.0,133.0,25.0,32.0,25.0,32.0
CALABARZON,5,Dry season,Reaper,"(2, 4]",10.0,10.0,10.0,10.0,10.0,10.0
CALABARZON,5,Dry season,Reaper,"(4, 6]",50.0,70.0,11.0,16.0,11.0,24.0
CALABARZON,5,Wet season,Combined,"(0, 2]",43.0,70.0,15.0,19.0,15.0,27.0
CALABARZON,5,Wet season,Combined,"(2, 4]",43.0,77.0,10.0,19.0,10.0,19.0
CALABARZON,5,Wet season,Combined,"(4, 6]",59.0,98.0,10.0,22.0,10.0,22.0
CALABARZON,5,Wet season,Combined,"(6, 8]",80.0,106.0,14.0,22.0,14.0,22.0
CALABARZON,5,Wet season,Manual,"(0, 2]",30.0,70.0,10.0,20.0,0.0,41.0
CALABARZON,5,Wet season,Manual,"(2, 4]",33.0,80.0,10.0,25.0,0.0,54.0
CALABARZON,5,Wet season,Manual,"(4, 6]",54.0,108.0,13.0,29.0,13.0,41.0
CALABARZON,5,Wet season,Manual,"(6, 8]",80.0,118.0,21.0,35.0,23.0,76.0
CALABARZON,5,Wet season,Manual,"(8, 10]",102.0,102.0,33.0,33.0,74.0,74.0
CALABARZON,5,Wet season,Reaper,"(0, 2]",43.0,70.0,17.0,20.0,17.0,35.0
CALABARZON,5,Wet season,Reaper,"(2, 4]",43.0,77.0,16.0,22.0,16.0,22.0
CALABARZON,5,Wet season,Reaper,"(4, 6]",82.0,106.0,21.0,28.0,21.0,40.0
CALABARZON,6,Dry season,Combined,"(2, 4]",56.0,77.0,17.0,25.0,17.0,45.0
CALABARZON,6,Dry season,Combined,"(4, 6]",64.0,80.0,26.0,30.0,41.0,50.0
CALABARZON,6,Dry season,Combined,"(6, 8]",133.0,133.0,36.0,36.0,69.0,69.0
CALABARZON,6,Dry season,Manual,"(0, 2]",30.0,59.0,10.0,20.0,0.0,32.0
CALABARZON,6,Dry season,Manual,"(2, 4]",32.0,92.0,16.0,28.0,16.0,57.0
CALABARZON,6,Dry season,Manual,"(4, 6]",49.0,124.0,24.0,37.0,41.0,81.0
CALABARZON,6,Dry season,Manual,"(6, 8]",146.0,159.0,40.0,44.0,85.0,97.0
CALABARZON,6,Dry season,Reaper,"(2, 4]",84.0,84.0,26.0,26.0,49.0,49.0
CALABARZON,6,Dry season,Reaper,"(4, 6]",116.0,116.0,34.0,34.0,70.0,70.0
CALABARZON,6,Wet season,Combined,"(0, 2]",43.0,43.0,13.0,15.0,13.0,15.0
CALABARZON,6,Wet season,Combined,"(2, 4]",43.0,77.0,14.0,22.0,11.0,27.0
CALABARZON,6,Wet season,Combined,"(4, 6]",61.0,110.0,22.0,31.0,22.0,56.0
CALABARZON,6,Wet season,Manual,"(0, 2]",30.0,44.0,10.0,17.0,0.0,17.0
CALABARZON,6,Wet season,Manual,"(2, 4]",30.0,80.0,10.0,25.0,0.0,48.0
CALABARZON,6,Wet season,Manual,"(4, 6]",64.0,116.0,18.0,33.0,26.0,69.0
CALABARZON,6,Wet season,Manual,"(6, 8]",80.0,116.0,25.0,34.0,44.0,70.0
CALABARZON,6,Wet season,Manual,"(8, 10]",118.0,118.0,34.0,34.0,69.0,69.0
CALABARZON,6,Wet season,Reaper,"(2, 4]",43.0,74.0,16.0,24.0,16.0,46.0
